facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd
"CMCC SOAP, LLC","5598 MONACO STREET, UNIT C",COMMERCE CITY,CO,80022,110071913064,,39.7982,-104.91344,COPIU008W,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071913064,
CMHHIP SOLAR,1600 W 24TH ST,PUEBLO,CO,81003,110072108741,,38.29105,-104.62701,COR429170,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072108741,
CMHIP HAWKINS L2,1600 W 24TH ST,PUEBLO,CO,81003,110070621112,,38.29105,-104.62701,COR406650,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070621112,
"CMI AT SWMU 4, PUEBLO CHEMICAL DEPOT, PUEBLO COLORADO","PUEBLO ARMY DEPOT, SWMU 4 MRS",PUEBLO,CO,81006,110072144573,,38.281168,-104.47592,COR10F0D7,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072144573,
CMS DJ BASIN CAPITAL PROJECTS,2115 117 AVE,GREELEY,CO,80634,110071345184,,40.403238,-104.867401,COG604442,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071345184,
"CMS MECHANICAL SERVICES, INC.",VARIOUS LOCATIONS,WINDSOR,CO,00000,110030762235,,40.472823,-104.884021,COG600813 COG600823 COG607004,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110030762235,
CMU CENTENNIAL VILLAGE,896 GLENWOOD AVENUE,GRAND JUNCTION,CO,81501,110071925433,,39.0783,-108.55721,COR426627,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071925433,
CMU FORMATION DISTRICT DINING HALL,1100 NORTH AVENUE,GRAND JUNCTION,CO,81501,110071950188,,39.07745,-108.55427,COR427520,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071950188,
CN-2,10420 CLINGMAN HEIGHTS,COLORADO SPRINGS,CO,80920,110071142070,,38.982924,-104.757875,COR414013,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071142070,
"CNS, PARKING LOT, MCKIBBEN GYM",1160 BARKELEY AVE,FORT CARSON,CO,80913,110071865138,,38.7518,-104.7896,COR10F0BQ,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071865138,
CO 392 AND WCR 23,CO 392 AND WCR 23,SEVERANCE,CO,80550,110071427688,,40.479662,-104.85625,COR420223,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071427688,
CO FLA 209(1) COTTONWOOD PASS ROAD,COTTONWOOD PASS ROAD (GUNNISON COUNTY ROAD 209),GUNNISON NATIONAL FOREST,CO,81230,110070063629,,38.8463,-106.4677,COR10F00G COR10F00J,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070063629,
CO FLAP CHA306(1) COTTONWOOD PASS EAST SIDE,COUNTY ROAD 306,BUENA VISTA,CO,81221,110070238865,,38.838,-106.1452,COR10F03F,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070238865,
CO. DEPT. OF TRANSPORTATION,BAIR RANCH REST AREA,UNK,CO,99999,110022551941,,39.61507,-107.13782,COG588075 COG590075,No Violation Identified,,,Y,2,https://echo.epa.gov/detailed-facility-report?fid = 110022551941,
CO2 FIELD DEVELOPMENT CORTEZ,MCELMO DOME AND DOE CANYON NW OF CORTEZ,CORTEZ,CO,81321,110064773570,,37.3833,-108.733,COR034610 COR402568,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110064773570,
