facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd,facility_type,receiving_waters
HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,14621 LOWER FOUNTAIN HEIGHTS,FOUNTAIN,CO,80817,110055623927,,38.621186,-104.664391,CO0000005,Violation Identified,Y,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110055623927,2.5,,
NORWOOD SANITATION DISTRICT,1/4 MI NORTH OF TOWN,NORWOOD,CO,81423,110010055796,,38.13982,-108.29367,CO0032191 COG582038 COG589078 COG591078,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110010055796,,,
48FORTY SOLUTIONS LLC,8221 E 96 AVE,HENDERSON,CO,80640,110071505437,,39.87366,-104.89068,COR901638,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110071505437,,,
LYONS PIT FREMONT COUNTY,HWY 69 AND HWY 50 S OF INTERSECTION,TEXAS CREEK,CO,81233,110071204534,,38.38472,-105.58,COG502199,Failure to Report DMR - Not Received,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110071204534,,,
FLORISSANT WSD-WTP FOR WELL NO 4 INF,2244 US HIGHWAY 24,FLORISSANT,CO,80816,110013183973,,38.945278,-105.2975,CO0041416,Failure to Report DMR - Not Received,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110013183973,0.057,,
E 88 ST SAND AND GRAVEL,1199 ASH AVE,GREELEY,CO,80631,110006782482,,40.41822,-104.673221,COG500404,Failure to Report DMR - Not Received,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110006782482,,,
OURAY SILVER MINE,6208 CR 26,OURAY,CO,81427,110069488619,,37.966667,-107.733333,COR040289,Failure to Report DMR - Not Received,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110069488619,,,
DRALA MOUNTAIN CENTER WWTP,151 SHAMBHALA WAY,RED FEATHER LAKES,CO,80545,110043274514,,40.73801,-105.54582,COX631041 COX631055,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110043274514,,,
OXBOW MINING INC,3737 HIGHWAY 133,SOMERSET,CO,81434,110010055288,212112,38.926289,-107.470007,CO0000132,No Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110010055288,,,
RED LION INN WWTF,38470 BOULDER CANYON RD,BOULDER COUNTY,CO,80302,110010053985,,40.00905,-105.32605,CO0027260 COG074139 COG588104 COG588118 COG590118,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110010053985,,,
OLNEY SPRINGS WASTEWATER TREATMENT FACILITY,APPX .25 MILES S OF TOWN,OLNEY SPRINGS,CO,81062,110063610463,,38.159,-103.943,COG589137 COG591137,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110063610463,,,
CALHAN TOWN OF-CHLORINATOR FOR WELL 2 GORDON WELL,556 COLORADO AVENUE,CALHAN,CO,80808,110006782375,,39.03531,-104.30044,COG582015 COG589018 COG591018 COG650132,No Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110006782375,,,
"SCS GENERATIONAL PROPERTIES, LLC-CHLORINATOR FOR WELL 1",6000 COUNTY ROAD 30,LAKE CITY,CO,81235,110022423509,,37.925,-107.3294,CO0047376 COG588123,Failure to Report DMR - Not Received,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110022423509,,,
SINGLETREE,SINGLETREE,HENDERSON,CO,80640,110071427226,,39.868508,-104.907366,COG318122 COR901629 COR901634,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110071427226,,,
SOUTH CANYON LANDFILL,1205 CR 134,GLENWOOD SPRINGS,CO,81601,110064629898,,39.545,-107.415278,CO0048815,Compliance/Permit Schedule - Violations,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110064629898,0.006,,
BLUE MESA RECREATION RANCH,27601 W HWY 50,GUNNISON,CO,81230,110071296684,,38.481389,-107.123889,COX634063,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110071296684,,,
HIGHLANDS PRESBYTERIAN CAMP,1305 HWY 7 BUSINESS RT,ALLENSPARK,CO,80510,110038448864,,40.187222,-105.510278,COX631008,Effluent - Non-monthly Average Limit,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110038448864,,,
RTD TUNNEL 16 GWTF,COLORADO BLVD AND I25,DENVER COUNTY,CO,80222,110070837532,,39.683333,-104.933333,COG318020,Terminated Permit,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110070837532,,,
COLORADO PLAINS REGIONAL AIRPORT,HWY 63,AKRON,CO,80720,110046319685,,40.175555,-103.221666,COR900220,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110046319685,,,
SALIDA HOT SPRINGS AQUATIC CENTER,410 W HWY 50,SALIDA,CO,81201,110006657796,,38.525,-106.020833,CO0048966 COG600235,Failure to Report DMR - Not Received,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110006657796,0.291,,
BLUE MOUNTAIN ENERGY - DESERADO MINE,3607 ROAD 65,RANGELY,CO,81648,110001973035,21211 212112,40.166944,-108.725556,CO0038024,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110001973035,0.78,,
BLUE VALLEY RANCH,6915 HWY 9,KREMMLING,CO,80459,110037261682,,40.001667,-106.376388,CO0045250 COX621006 COX634030,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110037261682,,,
1301 CANYON CONDOMINIUM,13 AND CANYON,BOULDER,CO,80302,110063216425,,40.020833,-105.266667,COG318084 COG603263,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110063216425,,,
1155 CANYON CONDOMINIUMS,1155 CANYON BLVD,BOULDER COUNTY,CO,80302,110024815976,,40.016667,-105.3,COG072204 COG318082 COG603165,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110024815976,,,
1515 VRAIN ST,1515 VRAIN ST,DENVER,CO,80202,110070201815,,39.747222,-104.997778,COG315506 COG315547 COG318004,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110070201815,,,
1515 WYNKOOP STREET,1515 WYNKOOP STREET,DENVER,CO,80202,110031267304,,39.751111,-105.001944,COG072628 COG318041 COG603115 COG604047,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110031267304,,,
UNION STATION NORTH WING OFFICE BUILDING,1705 17 ST,DENVER,CO,80202.0,110056127007,,39.754,-104.999,CO0049017 COG315252 COG315293,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110056127007,,,
3100 PEARL,3100 PEARL PKWY,BOULDER,CO,80301,110046315279,,40.02298,-105.25201,COG315250 COG318029 COR03I467,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110046315279,,,
1800 LARIMER LLC,1800 LARIMER ST STE 1700,DENVER COUNTY,CO,80202,110031105685,,39.75136,-104.99465,COG072570 COG318028 COG603158,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110031105685,,,
LOTUS,900 28 ST,BOULDER,CO,80303,110069415494,,40.00421,-105.25838,COG315427 COG318006,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110069415494,,,
ALEXAN CHERRY CREEK,55 COOK ST,DENVER,CO,80206,110067029913,,39.717106,-104.94737,COG318060 COR03O677,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110067029913,,,
LOUVIERS WATER AND SANITATION DIST,7251 MAIN ST,DOUGLAS COUNTY,CO,80131,110064249941,,39.475833,-105.006861,COX632004 COX632098,Failure to Report DMR - Not Received,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110064249941,,,
AURORA WATER SANITATION DISTRICT,12496 CR 8,AURORA,CO,80621,110071515006,,40.0425,-104.8221,COG080798 COG608017 COG608041,No Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110071515006,,,
SPARK TIMBERLOFTS,3303 BLUFF ST,BOULDER,CO,80301,110070097736,,40.0276,-105.250424,COG315462 COG315578 COG318016,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110070097736,,,
MICROCHIP TECHNOLOGIES - 1150 E CHEYENNE,1150 E CHEYENNE MOUNTAIN BLVD,COLORADO SPRINGS,CO,80906,110000467673,334413 334419,38.789051,-104.806197,COPIU005B COR900073,Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110000467673,,,
MCDONALD FARMS ENTERPRISES INC,4647 NATIONAL WESTERN DR,DENVER,CO,80216,110070162955,,39.781474,-104.97438,CO0049005 COL049005 CONOX0609,No Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110070162955,,,
LINE CAMP PIT,21944 HWY 145,DOLORES,CO,81323,110006782473,,37.53188,-108.382259,COG500403,No Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110006782473,,,
LKQ PIC YOUR PART DENVER,1355 W 52 AVE,DENVER,CO,80221,110046317188,441310,39.791,-105.003,COR901027,Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110046317188,,,
STRATA VAIL RESIDENCES,705 W LIONSHEAD CIR,VAIL,CO,81657,110058922304,,39.643889,-106.391111,COG074714 COG318064 COG603295 COR03L923,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110058922304,,,
SWIFT BEEF - LONE TREE,24750 WELD CR 62 1/2,GREELEY,CO,80631,110002041095,,40.425,-104.591667,CO0027707,No Violation Identified,Y,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110002041095,5.2,,
ST. JULIEN HOTEL & SPA,9TH STREET & CANYON BOULEVARD,BOULDER,CO,80302,110016679780,,40.016,-105.283,COG318066 COG600539 COG603036,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110016679780,,,
SOUTHWEST AIRLINES DENVER HANGAR,10751 QUEENSBURG ST,DENVER,CO,80249,110071202133,,39.89086,-104.67846,COR901603,Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110071202133,,,
THROIN RESOUCES LLC,6208 CR 26,OURAY,CO,81427.0,110055623918,,37.975262,-107.751941,CO0000003,Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110055623918,1.75,,
ADVENTURE UNLIMITED RANCHES-CHLORINATOR,18325 COUNTY ROAD 366,BUENA VISTA,CO,81211,110013749462,,38.87609,-106.22231,COX622018,No Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110013749462,,,
AMCAP CLAYTON LLC,1 AVE AND CLAYTON LANE,DENVER COUNTY,CO,80206,110045481545,,39.718793,-104.955495,COG318061 COG603199,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110045481545,,,
LINCOLN CENTER ADDN AND RENOVATION,417 W MAGNOLIA ST,FORT COLLINS,CO,80521,110070097751,,40.582898,-105.08272,COG318105 COG603346,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110070097751,,,
MAYBELL WWTF,475 CR 19,MOFFAT COUNTY,CO,81640,110010056018,,40.52406,-108.08649,COG581016 COG589040 COG591040,No Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110010056018,,,
AQUA RAMONE CLUB,0003 TEXAS LANE,SLOUTH FORK,CO,81154,110062625440,,37.677974,-106.565298,COX634020,Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110062625440,,,
1601 COLORADO APTS,1601 COLORADO BLVD,DENVER COUNTY,CO,80220,110030439023,,39.74193,-104.94077,COG318086 COG600967 COG603087,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110030439023,,,
STEAMBOAT HEALTH & REC ASSOC.,136 LINCOLN AVE,STEAMBOAT SPRINGS,CO,80487,110006781358,,40.48173,-106.82772,CO0048999,Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110006781358,0.25,,
URS CENTER,8181 E TUFTS AVE,DENVER,CO,80237.0,110006781928,,39.63339,-104.89414,COG318051 COG600310 COG603024,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110006781928,,,
1095 CANYON BLVD. LTD.,1095 CANYON BOULEVARD,BOULDER,CO,80302,110033164910,,40.015556,-105.2825,COG072682 COG318053 COG603125,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110033164910,,,
